Algorithm,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Logistic Regression,0.8531851360318513,0.733609958506224,0.6104972375690608,0.6664153788164342,0.7702049506622597
Decision Tree,0.8140345056403451,0.6087824351297405,0.6319060773480663,0.6201287699085056,0.7517608989360419
Random Forest,0.8498672859986729,0.7116134060795012,0.630524861878453,0.6686195532771878,0.7748694178387898
KNN,0.8195089581950896,0.6353383458646616,0.5835635359116023,0.6083513318934485,0.738834169702526
SVM,0.8433974784339748,0.7210526315789474,0.5676795580110497,0.6352395672333848,0.7491236218002847
